Län,coatOfArms
Stockholms län,https://upload.wikimedia.org/wikipedia/commons/b/bc/Stockholm_l%C3%A4n_vapen_b_ram.svg
Uppsala län,https://upload.wikimedia.org/wikipedia/commons/b/ba/Uppland_vapen.svg
Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/9/9a/S%C3%B6dermanland_vapen.svg
Östergötlands län,https://upload.wikimedia.org/wikipedia/commons/f/f3/%C3%96sterg%C3%B6tland_vapen.svg
Jönköpings län,https://upload.wikimedia.org/wikipedia/commons/2/2e/J%C3%B6nk%C3%B6ping_l%C3%A4n_vapen.svg
Kronobergs län,https://upload.wikimedia.org/wikipedia/commons/0/09/Kronoberg_vapen.svg
Kalmar län,https://upload.wikimedia.org/wikipedia/commons/c/ce/Kalmar_l%C3%A4n_vapen.svg
Gotlands län,https://upload.wikimedia.org/wikipedia/commons/e/ee/Gotland_vapen.svg
Blekinge län,https://upload.wikimedia.org/wikipedia/commons/5/53/Blekinge_vapen.svg
Skåne län,https://upload.wikimedia.org/wikipedia/commons/a/a7/Sk%C3%A5ne_l%C3%A4nsvapen_%E2%80%93_Riksarkivet_Sverige.svg
Hallands län,https://upload.wikimedia.org/wikipedia/commons/0/0f/Halland_vapen.svg
Västra Götalands län,https://upload.wikimedia.org/wikipedia/commons/d/da/V%C3%A4stra_G%C3%B6taland_vapen.svg
Värmlands län,https://upload.wikimedia.org/wikipedia/commons/5/51/V%C3%A4rmland_vapen.svg
Örebro län,https://upload.wikimedia.org/wikipedia/commons/3/31/%C3%96rebro_l%C3%A4n_vapen.svg
Västmanlands län,https://upload.wikimedia.org/wikipedia/commons/2/21/V%C3%A4stmanland_vapen.svg
Dalarnas län,https://upload.wikimedia.org/wikipedia/commons/8/8c/Dalarna_vapen.svg
Gävleborgs län,https://upload.wikimedia.org/wikipedia/commons/8/88/G%C3%A4vleborg_l%C3%A4n_vapen.svg
Västernorrlands län,https://upload.wikimedia.org/wikipedia/commons/d/da/V%C3%A4sternorrland_l%C3%A4n_vapen.svg
Jämtlands län,https://upload.wikimedia.org/wikipedia/commons/4/46/J%C3%A4mtland_l%C3%A4n_vapen.svg
Västerbottens län,https://upload.wikimedia.org/wikipedia/commons/7/71/V%C3%A4sterbotten_l%C3%A4n_vapen.svg
Norrbottens län,https://upload.wikimedia.org/wikipedia/commons/1/1d/Norrbotten_l%C3%A4n_vapen.svg
